Team__1,Seed__1,Score__1,Team__2,Seed__2,Score__2,Winning_Team,Win__1,Year,Round
Virginia,5,39.0,Florida,4,65.0,Florida,False,2017,2
USC,11,78.0,Baylor,3,82.0,Baylor,False,2017,2
South Carolina,7,88.0,Duke,2,81.0,South Carolina,True,2017,2
North Carolina,1,72.0,Arkansas,8,65.0,North Carolina,True,2017,2
Middle Tennessee,12,65.0,Butler,4,74.0,Butler,False,2017,2
Cincinnati,6,67.0,UCLA,3,79.0,UCLA,False,2017,2
Wichita State,10,62.0,Kentucky,2,65.0,Kentucky,False,2017,2
Kansas,1,90.0,Michigan State,9,70.0,Kansas,True,2017,2
Iowa State,5,76.0,Purdue,4,80.0,Purdue,False,2017,2
Rhode Island,11,72.0,Oregon,3,75.0,Oregon,False,2017,2
Michigan,7,73.0,Louisville,2,69.0,Michigan,True,2017,2
Gonzaga,1,61.0,West Virginia,4,58.0,Gonzaga,True,2017,3
Xavier,11,73.0,Arizona,2,71.0,Xavier,True,2017,3
Wisconsin,8,83.0,Florida,4,84.0,Florida,False,2017,3
Baylor,3,50.0,South Carolina,7,70.0,South Carolina,False,2017,3
North Carolina,1,92.0,Butler,4,80.0,North Carolina,True,2017,3
UCLA,3,75.0,Kentucky,2,86.0,Kentucky,False,2017,3
Kansas,1,98.0,Purdue,4,66.0,Kansas,True,2017,3
Oregon,3,69.0,Michigan,7,68.0,Oregon,True,2017,3
Gonzaga,1,83.0,Xavier,11,59.0,Gonzaga,True,2017,4
Florida,4,70.0,South Carolina,7,77.0,South Carolina,False,2017,4
North Carolina,1,75.0,Kentucky,2,73.0,North Carolina,True,2017,4
Kansas,1,60.0,Oregon,3,74.0,Oregon,False,2017,4
South Carolina,7,73.0,Gonzaga,1,77.0,Gonzaga,False,2017,5
Oregon,3,76.0,North Carolina,1,77.0,North Carolina,False,2017,5
Gonzaga,1,65.0,North Carolina,1,71.0,North Carolina,False,2017,6
